year,area,early,mid,late,revenue,fresh,processed,other
2012,6788,197888,5031,9330,256376,138258,16216,57775
2013,6795,165703,3817,11683,212148,117085,27563,36555
2014,6803,211804,5072,11020,219331,131033,57050,45021
2015,6787,178160,3957,11108,147815,103569,25706,63950
2016,6773,193366,4573,13533,270321,124076,19880,67516
2017,6869,162609,3629,18990,275022,116550,22402,46276
2018,6866,182700,3549,18811,316860,119356,18775,66929
2019,6826,149751,3740,19496,196706,87170,21109,64708
2020,6757,167366,3973,21230,224700,119945,19105,61106
2021,6772,132181,2253,24166,242600,93339,16841,48677
2022,6649,141195,2602,23540,283900,103397,18197,56803
